number	korean	example_ko	example_en
1224	외우다	단어를 외워요	memorize words
1225	외출	외출을 했어요	went on outing
1226	왼손	왼손을 들어요	raise left hand
1227	왼쪽	왼쪽으로 가세요	go to left
1228	요금	요금이 비싸요	fee is expensive
1229	요리	요리를 배워요	learn cooking
1230	요리사	요리사가 됐어요	became chef
1231	요일	무슨 요일이에요	what day of week
1232	요즘	요즘 바빠요	busy nowadays
1233	우동	우동을 먹어요	eat udon
1234	우리	우리 집에 오세요	come to our house
1235	우리나라	우리나라가 좋아요	like our country
1236	우산	우산을 가져가요	take umbrella
1237	우선	우선 밥을 먹어요	eat first
1238	우유	우유를 마셔요	drink milk
1239	우체국	우체국에서 편지를 보내요	send letter at post office
1240	우표	우표를 샀어요	bought stamp
1241	운동	매일 운동을 해요	exercise every day
1242	운동복	운동복을 입어요	wear sportswear
1243	운동장	운동장에서 뛰어요	run on playground
1244	운동화	운동화를 신어요	wear running shoes
1245	운전	운전을 배워요	learn driving
1246	운전사	운전사를 찾아요	look for driver
1247	울다	아기가 울어요	baby cries
1248	울산	울산에 가 봤어요	have been to Ulsan
1249	울음	울음을 그쳐요	stop crying
1250	움직이다	몸을 움직여요	move body
1251	웃다	친구랑 웃어요	laugh with friend
1252	웃음	웃음이 나와요	laughter comes out
1253	원	천 원이에요	one thousand won
1254	원피스	원피스를 샀어요	bought one piece dress
1255	원하다	선물을 원해요	want gift
1256	월	몇 월이에요	what month is it
1257	월급	월급을 받았어요	received salary
1258	월요일	월요일에 출근해요	go to work on Monday
1259	위	책상 위에 놓아요	put on desk
1260	위쪽	위쪽으로 올라가요	go up to topside
1261	위치	위치를 알려 주세요	tell me position please
1262	위험	위험한 곳이에요	it's dangerous place
1263	유리	유리가 깨졌어요	glass broke
1264	유명	유명한 가수예요	it's famous singer
1265	유월	유월에 비가 와요	rain comes in June
1266	유치원	유치원에 다녀요	go to kindergarten
1267	유학	미국으로 유학을 가요	go to USA to study abroad
1268	유학생	유학생을 만났어요	met international student
1269	유행	옷이 유행이에요	clothes are in fashion
1270	육	숫자 육이에요	number six
1271	육교	육교를 건너요	cross overpass
1272	육십	나이가 육십이에요	age is sixty
1273	윷놀이	설날에 윷놀이를 해요	play yut on New Year
1274	은행	은행에서 돈을 찾아요	withdraw money at bank
1275	음	음, 생각해 볼게요	uh, will think about it
1276	음료	음료를 마셔요	drink beverage
1277	음료수	음료수를 샀어요	bought drink
1278	음식	한국 음식을 먹어요	eat Korean food
1279	음식점	음식점에서 밥을 먹어요	eat rice at restaurant
1280	음악	음악을 들어요	listen to music
1281	음악가	유명한 음악가예요	it's famous musician
1282	응	응, 그래요	yes, that's right
1283	의미	무슨 의미예요	what meaning is it
1284	의사	의사를 만났어요	met doctor
1285	의자	의자에 앉아요	sit on chair
1286	이	이가 아파요	tooth hurts
1287	이	이 책이 좋아요	this book is good
1288	이	하나 둘 이예요	one two is two
1289	이거	이거 주세요	give me this
1290	이것	이것이 제 거예요	this is mine
1291	이곳	이곳에 살아요	live in this place
1292	이기다	경기에서 이겼어요	won in match
1293	이날	이날이 기억나요	remember this day
1294	이다	저는 학생이에요	I am student
1295	이따가	이따가 전화할게요	will call later
1296	이때	이때가 중요해요	this time is important
1297	이런	이런 일이 있었어요	such thing happened
1298	이렇다	이렇게 하세요	do like this
1299	이르다	너무 일러요	too early
1300	이름	이름이 뭐예요	what is your name
1301	이마	이마가 넓어요	forehead is wide
1302	이모	이모를 만났어요	met aunt
1303	이미	이미 끝났어요	already finished
1304	이번	이번 주말에 만나요	meet this weekend
1305	이분	이분은 선생님이에요	this person is teacher
1306	이불	이불을 덮어요	cover with quilt
1307	이사	다음 달에 이사해요	move house next month
1308	이삿짐	이삿짐을 쌌어요	packed moving luggage
1309	이상	열 명 이상이에요	ten people or above
1310	이상	뭔가 이상해요	something is strange
1311	이십	나이가 이십이에요	age is twenty
1312	이야기	재미있는 이야기를 들었어요	heard interesting story
1313	이용	인터넷을 이용해요	use internet
1314	이웃	이웃과 친하게 지내요	get along with neighborhood
1315	이월	이월에 눈이 와요	snow comes in February
1316	이유	무슨 이유예요	what reason is it
1317	이전	이전에 살았어요	lived previous time
1318	이제	이제 가야 해요	now must go
1319	이쪽	이쪽으로 오세요	come this way please
1320	이틀	이틀 동안 쉬어요	rest for two days
1321	이해	이해가 안 돼요	don't understand
1322	이후	그 이후로 안 봤어요	haven't seen after that
1323	익다	과일이 익었어요	fruit is ripe
1324	익숙하다	일에 익숙해요	be used to work
1325	인기	인기가 많아요	popularity is high
1326	인도네시아	인도네시아에 가 봤어요	have been to Indonesia
1327	인분	2인분 주세요	give me 2 servings please
1328	인사	아침 인사를 해요	make morning greetings
1329	인삼	인삼차를 마셔요	drink ginseng tea
1330	인정받다	능력을 인정받아요	be recognized for ability
1331	인천	인천 공항에 가요	go to Incheon airport
1332	인터넷	인터넷을 써요	use internet
1333	인형	예쁜 인형을 샀어요	bought pretty doll
1334	일	일이 많아요	have much work
1335	일	숫자 일이에요	number one
1336	일	하루는 24일이에요	one day is 24 hours
1337	일곱	사과 일곱 개예요	seven apples
1338	일기	매일 일기를 써요	write diary every day
1339	일본	일본에 가 봤어요	have been to Japan
1340	일부	일부만 가능해요	only part is possible
1341	일식	일식을 먹어요	eat Japanese food
1342	일식집	일식집에서 먹어요	eat at Japanese restaurant
1343	일어나다	아침 일찍 일어나요	wake up early morning
1344	일어서다	자리에서 일어서요	stand up from seat
1345	일요일	일요일에 쉬어요	rest on Sunday
1346	일월	일월은 추워요	January is cold
1347	일주일	일주일에 한 번 만나요	meet once one week
1348	일찍	일찍 자요	sleep early
1349	일흔	나이가 일흔이에요	age is seventy
1350	읽다	책을 읽어요	read book
1351	잃다	지갑을 잃었어요	lost wallet
1352	잃어버리다	열쇠를 잃어버렸어요	lost key regretfully
1353	입	입을 열어요	open mouth
1354	입구	입구가 어디예요	where is entrance
1355	입다	옷을 입어요	wear clothes
1356	입술	입술이 말라요	lips are dry
1357	입원	병원에 입원했어요	was hospitalized
1358	입장권	입장권을 샀어요	bought admission ticket
1359	입학	대학교에 입학했어요	entered university
1360	입학시험	입학시험을 봤어요	took entrance exam
1361	있다	집에 있어요	be at home
1362	잊다	이름을 잊었어요	forgot name
1363	잊어버리다	약속을 잊어버렸어요	forgot promise regretfully
1364	잎	나뭇잎이 떨어져요	tree leaf falls
1365	자기소개	자기소개를 해요	do self-introduction
1366	자꾸	자꾸 물어봐요	ask repeatedly
1367	자다	밤에 자요	sleep at night
1368	자동차	자동차를 샀어요	bought car
1369	자동판매기	자동판매기에서 음료를 샀어요	bought drink from vending machine
1370	자라다	아이가 자랐어요	child grew up
1371	자랑	아들을 자랑해요	proud of son
1372	자르다	머리를 잘랐어요	cut hair
1373	자리	자리에 앉으세요	sit in seat please
1374	자세히	자세히 말해 주세요	tell me in details please
1375	자식	자식을 사랑해요	love child
1376	자신	자신을 믿어요	trust myself
1377	자연	자연이 아름다워요	nature is beautiful
1378	자유	자유가 중요해요	freedom is important
1379	자장면	자장면을 시켰어요	ordered jajangmyeon
1380	자전거	자전거를 타요	ride bicycle
1381	자주	친구를 자주 만나요	meet friend often
1382	자판기	자판기에서 커피를 샀어요	bought coffee from vending machine
1383	작년	작년에 결혼했어요	got married last year
1384	작다	방이 작아요	room is small
1385	잔	물 한 잔 주세요	give me one glass of water
1386	잔치	결혼 잔치를 했어요	had wedding feast
1387	잘	한국어를 잘 해요	speak Korean well
1388	잘되다	일이 잘돼요	work goes well
1389	잘못	제 잘못이에요	it's my wrong
1390	잘못되다	계산이 잘못됐어요	calculation went wrong
1391	잘못하다	숙제를 잘못했어요	did homework wrong
1392	잘생기다	잘생긴 남자를 봤어요	saw handsome man
1393	잘하다	요리를 잘해요	cook well
1394	잠	잠이 와요	sleep comes
1395	잠깐	잠깐만 기다리세요	wait for moment please
1396	잠시	잠시 후에 전화할게요	will call for while later
1397	잠자다	밤에 잠을 자요	sleep at night
1398	잡다	물고기를 잡았어요	caught fish
1399	잡수시다	식사 잡수세요	please eat meal
1400	잡지	잡지를 읽어요	read magazine
1401	잡채	잡채를 먹어요	eat japchae
1402	장	종이 한 장 주세요	give me one sheet of paper
1403	장갑	장갑을 껴요	wear gloves
1404	장난감	장난감을 샀어요	bought toy
1405	장마	장마철이 왔어요	rainy season came
1406	장미	빨간 장미를 샀어요	bought red rose
1407	장소	만날 장소를 정해요	decide place to meet
1408	재료	요리 재료를 샀어요	bought cooking materials
1409	재미	재미가 있어요	have fun
1410	재미없다	영화가 재미없어요	movie is not interesting
1411	재미있다	책이 재미있어요	book is interesting
1412	재채기	재채기가 나와요	sneeze comes out
1413	저	저는 학생이에요	I am student
1414	저	저 사람을 봐요	look at that person
1415	저	저, 질문 있어요	well, have question
1416	저거	저거 뭐예요	what is that
1417	저것	저것을 주세요	give me that please
1418	저곳	저곳에 가 봤어요	have been to over there
1419	저금	매달 저금해요	save money every month
1420	저기	저기 가세요	go there please
1421	저녁	저녁을 먹어요	eat dinner
1422	저런	저런 일이 있었어요	that kind of thing happened
1423	저렇다	저렇게 하세요	do like that please
1424	저번	저번에 만났어요	met last time
1425	저분	저분은 선생님이에요	that person is teacher
1426	저쪽	저쪽으로 가세요	go to that side
1427	저희	저희 집에 오세요	come to our house
1428	적다	일기를 적어요	write diary
1429	적다	사람이 적어요	people are less
1430	적당하다	가격이 적당해요	price is suitable
1431	전	음식을 전부 먹었어요	ate all food
1432	전	일 년 전이에요	one year before
1433	전공	한국어를 전공해요	major in Korean
1434	전기	전기가 나갔어요	electricity went out
1435	전부	전부 다 주세요	give me all please
1436	전철	전철을 타요	take train
1437	전체	전체 인원이 많아요	total people are many
1438	전하다	소식을 전해요	deliver news
1439	전혀	전혀 몰라요	don't know at all
1440	전화	전화를 받아요	receive phone call
1441	전화기	전화기를 샀어요	bought cellphone
1442	전화번호	전화번호를 알려 주세요	tell me phone number please
1443	젊다	젊은 사람이 많아요	young people are many
1444	점수	점수가 높아요	score is high
1445	점심	점심을 먹어요	eat lunch
1446	점심때	점심때 만나요	meet at lunch time
1447	점심시간	점심시간이 짧아요	lunch time is short
1448	점점	날씨가 점점 추워져요	weather gradually gets cold
1449	접다	종이를 접어요	fold paper
1450	접시	접시를 씻어요	wash dish
1451	젓가락	젓가락으로 먹어요	eat with chopsticks
1452	정거장	버스 정거장에서 만나요	meet at bus station
1453	정도	이 정도면 충분해요	this degree is enough
1454	정류장	정류장에서 버스를 타요	take bus at station
1455	정리	방을 정리해요	arrange room
1456	정말	정말 좋아요	really good
1457	정문	정문으로 들어가요	enter through front door
1458	정신없이	정신없이 바빠요	busy hectically
1459	정원	정원이 예뻐요	garden is pretty
1460	정하다	날짜를 정해요	decide date
1461	정형외과	정형외과에 가요	go to orthopedics
1462	정확	시간이 정확해요	time is exact
1463	젖다	옷이 젖었어요	clothes got wet
1464	제	제 이름은 김철수예요	my name is Kim Chulsoo
1465	제목	제목이 뭐예요	what is title
1466	제일	제일 좋아해요	like best
1467	제주도	제주도에 가요	go to Jeju Island
1468	조금	조금만 주세요	give me little please
1469	조금씩	조금씩 배워요	learn gradually
1470	조심	조심하세요	be careful please
1471	조용하다	도서관이 조용해요	library is quiet
1472	조용히	조용히 말해요	speak quietly
1473	조카	조카를 돌봐요	look after nephew
1474	졸다	수업 시간에 졸아요	sleep during class
1475	졸업	다음 달에 졸업해요	graduate next month
1476	좀	물 좀 주세요	give me some water
1477	좁다	길이 좁아요	road is narrow
1478	종류	종류가 많아요	types are many
1479	종업원	종업원을 불렀어요	called employee
1480	종이	종이를 주세요	give me paper please
1481	좋다	날씨가 좋아요	weather is good
1482	좋아하다	음악을 좋아해요	like music
1483	죄송하다	정말 죄송해요	really sorry
1484	주	일주에 한 번 가요	go once a week
1485	주다	선물을 줘요	give gift
1486	주로	주로 집에서 쉬어요	mainly rest at home
1487	주말	주말에 놀아요	play on weekend
1488	주머니	주머니에 넣어요	put in pocket
1489	주무시다	잘 주무셨어요	slept well
1490	주문	음식을 주문했어요	ordered food
1491	주변	학교 주변이 깨끗해요	area around school is clean
1492	주부	전업 주부예요	full-time housewife
1493	주사	주사를 맞았어요	received injection
1494	주소	주소를 알려 주세요	tell me address please
1495	주스	오렌지 주스를 마셔요	drink orange juice
1496	주위	주위가 조용해요	surroundings are quiet
1497	주인	가게 주인을 만났어요	met store master
1498	주일	한 주일에 한 번 가요	go once one week
1499	주차	주차할 곳을 찾아요	look for parking place
1500	주차장	주차장이 넓어요	parking lot is wide
1501	주황색	주황색 옷을 샀어요	bought orange color clothes
1502	죽다	나무가 죽었어요	tree died
1503	준비	여행 준비를 해요	prepare for travel
1504	줄	줄을 서세요	stand in line please
1505	줄다	살이 줄었어요	weight shrank
1506	줄이다	시간을 줄여요	reduce time
1507	줍다	쓰레기를 주워요	pick up garbage
1508	중	공부하는 중이에요	in the middle of studying
1509	중간	중간에 쉬어요	rest in middle
1510	중국	중국에 가 봤어요	have been to China
1511	중국집	중국집에서 먹어요	eat at Chinese restaurant
1512	중심	도시 중심에 살아요	live in city center
1513	중앙	중앙에 있어요	it's in central
1514	중요	건강이 중요해요	health is important
1515	중학교	중학교를 졸업했어요	graduated from middle school
1516	중학생	중학생이 많아요	middle schoolers are many
1517	즐거워하다	친구들이 즐거워해요	friends are having fun
1518	즐겁다	즐거운 시간이었어요	it was fun time
1519	즐기다	음악을 즐겨요	enjoy music
1520	지각	학교에 지각했어요	was late to school
1521	지갑	지갑을 잃어버렸어요	lost wallet
1522	지금	지금 바빠요	busy now
1523	지나가다	버스가 지나가요	bus passes by
1524	지나다	시간이 지났어요	time passed
1525	지난달	지난달에 만났어요	met last month
1526	지난번	지난번에 봤어요	saw last time
1527	지난주	지난주에 여행했어요	traveled last week
1528	지난해	지난해에 결혼했어요	got married last year
1529	지내다	잘 지내요	stay well
1530	지다	경기에서 졌어요	lost in game
1531	지도	지도를 봐요	look at map
1532	지루하다	수업이 지루해요	class is bored
1533	지르다	소리를 질러요	yell sound
1534	지방	시골 지방에 살아요	live in rural region
1535	지우개	지우개를 빌려 주세요	lend me eraser please
1536	지우다	글씨를 지워요	erase writing
1537	지키다	약속을 지켜요	protect promise
1538	지하	지하에 주차해요	park in basement
1539	지하도	지하도로 건너요	cross via underpass
1540	지하철	지하철을 타요	take subway
1541	지하철역	지하철역에서 만나요	meet at subway station
1542	직업	직업이 뭐예요	what is your job
1543	직원	회사 직원이에요	company staff
1544	직장	직장에 다녀요	go to workplace
1545	직접	직접 만들었어요	made directly
1546	진짜	진짜 좋아요	really good
1547	진하다	커피가 진해요	coffee is thick
1548	질문	질문이 있어요	have question
1549	짐	짐을 싸요	pack luggage
1550	집	집에 가요	go home
1551	집들이	다음 주에 집들이를 해요	have housewarming next week
1552	집안일	집안일을 도와요	help with housework
1553	짓다	집을 짓고 있어요	building house
1554	짜다	음식이 짜요	food is salty
1555	짜증	짜증이 나요	annoyance comes
1556	짝	신발 짝을 찾아요	look for shoe pair
1557	짧다	치마가 짧아요	skirt is short
1558	짬뽕	짬뽕을 먹어요	eat champong
1559	쪽	어느 쪽을 좋아해요	which side do you like
1560	찌개	찌개를 끓여요	boil stew
1561	찌다	살이 쪘어요	gained weight
1562	찌다	만두를 쪄요	steam dumplings
1563	찍다	사진을 찍어요	take photo
1564	차	차를 마셔요	drink tea
1565	차	차를 타요	take car
1566	차갑다	물이 차가워요	water is cold
1567	차다	물이 가득 찼어요	water is full
1568	차다	공을 차요	kick ball
1569	차다	시계를 차요	wear watch
1570	차다	날씨가 차요	weather is cold
1571	차례	제 차례가 왔어요	my turn came
1572	착하다	착한 아이예요	it's kind child
1573	찬물	찬물을 마셔요	drink cold water
1574	참	참 좋아요	very good
1575	참다	화를 참아요	suppress anger
1576	참외	참외가 달아요	melon is sweet
1577	창문	창문을 열어요	open window
1578	찾다	친구를 찾아요	find friend
1579	찾아가다	병원을 찾아가요	go to hospital
1580	찾아보다	지도를 찾아봐요	look for map
1581	찾아오다	집으로 찾아왔어요	came to home
1582	채소	채소를 먹어요	eat vegetables
1583	책	책을 읽어요	read book
1584	책상	책상 위에 놓아요	put on desk
1585	책장	책장을 열어요	open bookshelf
1586	처음	처음 만났어요	met for first time
1587	천	일천 원이에요	one thousand won
1588	천만	일천만 원이에요	ten million won
1589	천천히	천천히 걸어요	walk slowly
1590	첫	첫 수업이에요	first class
1591	첫날	첫날이 기억나요	remember first day
1592	첫째	첫째 아들이에요	first son
1593	청년	젊은 청년이에요	it's young youth
1594	청바지	청바지를 입어요	wear blue jeans
1595	청소	방 청소를 해요	do room cleaning
1596	청소년	청소년이 많아요	teenagers are many
1597	체육관	체육관에서 운동해요	exercise at gym
1598	체크무늬	체크무늬 옷을 샀어요	bought checkered clothes
1599	쳐다보다	하늘을 쳐다봐요	look at sky
1600	초	처음부터 시작해요	start from beginning
1601	초	1분은 60초예요	one minute is 60 seconds
1602	초대	친구를 초대했어요	invited friend
1603	초대장	초대장을 받았어요	received invitation card
1604	초등학교	초등학교를 졸업했어요	graduated from elementary school
1605	초등학생	초등학생이 많아요	elementary students are many
1606	초록색	초록색 옷을 샀어요	bought green clothes
1607	초콜릿	초콜릿을 좋아해요	like chocolate
1608	최고	최고의 선물이에요	it's best gift
1609	최근	최근에 바빠요	busy recently
1610	추다	춤을 춰요	dance
1611	추석	추석에 고향에 가요	go to hometown on Chuseok
1612	축구	축구를 좋아해요	like soccer
1613	축구공	축구공을 샀어요	bought soccer ball
1614	축하	생일을 축하해요	congratulate birthday
1615	출구	출구가 어디예요	where is exit
1616	출근	아침 일찍 출근해요	go to work early morning
1617	출발	내일 출발해요	depart tomorrow
1618	출석	매일 출석해요	attend every day
1619	출입	출입을 금지해요	prohibit access
1620	출입국	출입국 심사를 받아요	receive immigration inspection
1621	출장	다음 주에 출장을 가요	go on business trip next week
1622	출퇴근	매일 출퇴근해요	commute every day
1623	춤	춤을 춰요	dance
1624	춤추다	신나게 춤을 춰요	dance excitedly
1625	춥다	겨울이 추워요	winter is cold
1626	충분하다	돈이 충분해요	money is enough
1627	취미	취미가 뭐예요	what is your hobby
1628	취소	예약을 취소했어요	canceled reservation
1629	취직	회사에 취직했어요	got employment at company
1630	층	3층에 살아요	live on 3rd floor
1631	치과	치과에 가요	go to dentist
1632	치다	테니스를 쳐요	play tennis
1633	치료	치료를 받아요	receive treatment
1634	치마	치마를 샀어요	bought skirt
1635	치약	치약을 샀어요	bought toothpaste
1636	치킨	치킨을 시켰어요	ordered chicken
1637	친구	친구를 만나요	meet friend
1638	친절	친절한 사람이에요	it's kind person
1639	친척	친척을 만났어요	met relative
1640	친하다	친한 친구예요	it's close friend
1641	칠	숫자 칠이에요	number seven
1642	칠십	나이가 칠십이에요	age is seventy
1643	칠월	칠월은 여름이에요	July is summer
1644	칠판	칠판에 써요	write on blackboard
1645	침대	침대에 누워요	lie on bed
1646	침실	침실이 깨끗해요	bedroom is clean
1647	칫솔	칫솔을 샀어요	bought toothbrush
1648	칭찬	선생님께 칭찬받았어요	received compliment from teacher
1649	카드	카드로 계산해요	pay with card
1650	카레	카레를 먹어요	eat curry
1651	카메라	카메라를 샀어요	bought camera
1652	카페	카페에서 커피를 마셔요	drink coffee at cafe
1653	칼	칼로 썰어요	cut with knife
1654	칼국수	칼국수를 먹어요	eat kalguksu
1655	캐나다	캐나다에 가 봤어요	have been to Canada
1656	커피	커피를 마셔요	drink coffee
1657	커피숍	커피숍에서 만나요	meet at coffee shop
1658	컴퓨터	컴퓨터를 써요	use computer
1659	컵	컵에 물을 넣어요	put water in cup
1660	케이크	케이크를 먹어요	eat cake
1661	켜다	불을 켜요	turn on light
1662	켜다	바이올린을 켜요	play violin
1663	켤레	신발 두 켤레를 샀어요	bought two pairs of shoes
1664	코	코가 아파요	nose hurts
1665	코끼리	코끼리를 봤어요	saw elephant
1666	콘서트	콘서트에 가요	go to concert
1667	콜라	콜라를 마셔요	drink cola
1668	콧물	콧물이 나요	nose runs
1669	콩	콩을 삶아요	boil beans
1670	크기	크기가 커요	size is big
1671	크다	방이 커요	room is big
1672	크리스마스	크리스마스에 선물을 받아요	receive gift on Christmas
1673	큰소리	큰소리를 내요	make loud sound
1674	키	키가 커요	height is tall
1675	키우다	강아지를 키워요	raise puppy
1676	킬로그램	무게가 10킬로그램이에요	weight is 10 kilograms
1677	킬로미터	거리가 10킬로미터예요	distance is 10 kilometers
1678	타다	집이 타요	house burns
1679	타다	버스를 타요	take bus
1680	타다	커피를 타요	make instant coffee
1681	탁구	탁구를 쳐요	play ping-pong
1682	탕수육	탕수육을 먹어요	eat tangsuyuk
1683	태국	태국에 가 봤어요	have been to Thailand
1684	태권도	태권도를 배워요	learn taekwondo
1685	태극기	태극기를 봤어요	saw Korean flag
1686	태도	태도가 좋아요	attitude is good
1687	태어나다	한국에서 태어났어요	was born in Korea
1688	태풍	태풍이 와요	typhoon comes
1689	택배	택배를 보냈어요	sent parcel
1690	택시	택시를 탔어요	took taxi
1691	터미널	터미널에서 버스를 타요	take bus at terminal
1692	테니스	테니스를 쳐요	play tennis
1693	테니스장	테니스장에 가요	go to tennis court
1694	테이블	테이블을 닦아요	wipe table
1695	텔레비전	텔레비전을 봐요	watch television
1696	토끼	토끼를 키워요	raise rabbit
1697	토마토	토마토를 먹어요	eat tomato
1698	토요일	토요일에 쉬어요	rest on Saturday
1699	통장	통장을 만들었어요	made bankbook
1700	통화	전화 통화를 했어요	made phone call
1701	퇴근	저녁에 퇴근해요	leave work in evening
1702	퇴원	내일 퇴원해요	discharge from hospital tomorrow
1703	튀기다	감자를 튀겨요	fry potatoes
1704	튀김	튀김을 먹어요	eat fried food
1705	트럭	트럭이 지나가요	truck passes by
1706	특별하다	특별한 날이에요	it's special day
1707	특별히	특별히 좋아해요	like especially
1708	특히	특히 음악을 좋아해요	especially like music
1709	튼튼하다	튼튼한 몸을 만들어요	make strong body
1710	틀다	라디오를 틀어요	turn on radio
1711	틀리다	답이 틀렸어요	answer is wrong
1712	티셔츠	티셔츠를 입어요	wear t-shirt
1713	팀	우리 팀이 이겼어요	our team won
1714	파란색	파란색 옷을 샀어요	bought blue color clothes
1715	파랗다	하늘이 파래요	sky is blue
1716	파티	생일 파티를 해요	have birthday party
1717	팔	팔이 아파요	arm hurts
1718	팔	숫자 팔이에요	number eight
1719	팔다	물건을 팔아요	sell things
1720	팔리다	책이 잘 팔려요	book sells well
1721	팔십	나이가 팔십이에요	age is eighty
1722	팔월	팔월은 더워요	August is hot
1723	펴다	책을 펴요	unfold book
1724	편리	교통이 편리해요	transportation is convenient
1725	편안	마음이 편안해요	heart feels at peace
1726	편의점	편의점에서 물을 샀어요	bought water at convenience store
1727	편지	편지를 썼어요	wrote letter
1728	편찮다	몸이 편찮아요	body is unwell
1729	편하다	의자가 편해요	chair is relaxing
1730	평소	평소에 운동해요	exercise usually
1731	평일	평일에 일해요	work on weekdays
1732	포도	포도를 먹어요	eat grapes
1733	포장	선물을 포장해요	wrap gift
1734	표	표를 샀어요	bought ticket
1735	푸르다	하늘이 푸르러요	sky is green
1736	푹	푹 쉬세요	rest well
1737	풀다	문제를 풀어요	solve problem
1738	풍경	아름다운 풍경을 봤어요	saw beautiful landscape
1739	프라이팬	프라이팬으로 요리해요	cook with frying pan
1740	프랑스	프랑스에 가 봤어요	have been to France
1741	프로그램	프로그램을 봐요	watch program
1742	피	피가 나요	blood comes out
1743	피곤	너무 피곤해요	too tired
1744	피다	꽃이 폈어요	flower bloomed
1745	피아노	피아노를 쳐요	play piano
1746	피우다	꽃을 피워요	bloom flowers
1747	피자	피자를 먹어요	eat pizza
1748	필요	돈이 필요해요	need money
1749	필통	필통을 샀어요	bought pencil case
1750	하나	사과 하나를 먹어요	eat one apple
1751	하늘	하늘이 맑아요	sky is clear
1752	하늘색	하늘색 옷을 샀어요	bought sky blue clothes
1753	하다	운동을 해요	do exercise
1754	-하다	행복해요	be happy
1755	하루	하루 종일 쉬었어요	rested all day long
1756	하숙비	하숙비를 냈어요	paid lodging fee
1757	하숙집	하숙집에 살아요	live in boarding house
1758	하얀색	하얀색 옷을 샀어요	bought white color clothes
1759	하얗다	눈이 하얘요	snow is white
1760	하지만	좋아해요. 하지만 비싸요	like it however it's expensive
1761	학교	학교에 가요	go to school
1762	학기	새 학기가 시작됐어요	new semester started
1763	학년	3학년이에요	third grade
1764	학생	저는 학생이에요	I am student
1765	학생증	학생증을 보여 주세요	show me student ID
1766	학원	학원에 다녀요	go to academy
1767	한	사과 한 개예요	one apple
1768	한가하다	주말이 한가해요	weekend is free
1769	한강	한강을 건너요	cross Han river
1770	한국	한국에 살아요	live in Korea
1771	한글	한글을 배워요	learn Hangul
1772	한두	한두 시간 걸려요	takes one or two hours
1773	한번	한 번만 더 해요	do once more
1774	한복	한복을 입어요	wear Hanbok
1775	한식	한식을 먹어요	eat Korean food
1776	한식집	한식집에 가요	go to Korean restaurant
1777	한옥	한옥에 살아요	live in Hanok house
1778	한잔	커피 한잔 마셔요	drink one cup of coffee
1779	한턱	제가 한턱낼게요	I will buy a treat
1780	할머니	할머니를 뵈었어요	met grandmother
1781	할아버지	할아버지가 오셨어요	grandfather came
1782	할인	할인을 받았어요	received discount
1783	함께	친구랑 함께 가요	go together with friend
1784	항공	항공권을 샀어요	bought airline ticket
1785	항공권	항공권이 비싸요	airline ticket is expensive
1786	항상	항상 행복해요	always happy
1787	해	해가 뜨요	sun rises
1788	해마다	해마다 여행을 가요	travel every year
1789	해외	해외에 살아요	live overseas
1790	해외여행	해외여행을 가요	go on overseas travel
1791	햄버거	햄버거를 먹어요	eat hamburger
1792	햇빛	햇빛이 따뜻해요	sunshine is warm
1793	행동	행동이 좋아요	action is good
1794	행복	행복한 삶을 살아요	live happy life
1795	행사	내일 행사가 있어요	have event tomorrow
1796	허리	허리가 아파요	waist hurts
1797	헤어지다	친구랑 헤어졌어요	broke up with friend
1798	헬스클럽	헬스클럽에 다녀요	go to health club
1799	혀	혀가 아파요	tongue hurts
1800	현금	현금으로 계산해요	pay with cash
1801	현재	현재 서울에 살아요	currently live in Seoul
1802	형	형을 만났어요	met older brother
1803	형제	형제가 몇 명이에요	how many brothers do you have
1804	호	301호에 살아요	live in No. 301
1805	호랑이	호랑이를 봤어요	saw tiger
1806	호수	호수가 아름다워요	lake is beautiful
1807	호텔	호텔에 묵어요	stay at hotel
1808	혹시	혹시 시간 있어요	maybe have time
1809	혼자	혼자 살아요	live alone
1810	홍차	홍차를 마셔요	drink black tea
1811	화	화가 나요	angry
1812	화가	유명한 화가예요	it's famous painter
1813	화나다	친구한테 화났어요	got angry at friend
1814	화내다	엄마가 화를 내요	mom gets angry
1815	화려하다	옷이 화려해요	clothes are gorgeous
1816	화요일	화요일에 만나요	meet on Tuesday
1817	화장실	화장실이 어디예요	where is restroom
1818	화장품	화장품을 샀어요	bought cosmetics
1819	환영	손님을 환영해요	welcome guests
1820	환자	병원에 환자가 많아요	patients are many at hospital
1821	환전	돈을 환전했어요	exchanged currency
1822	활발히	아이들이 활발히 놀아요	children play actively
1823	회	3회를 봤어요	watched episode 3
1824	회사	회사에 다녀요	go to company
1825	회사원	회사원이에요	office worker
1826	회색	회색 옷을 샀어요	bought gray clothes
1827	회원	회원이 됐어요	became member
1828	회의	오후에 회의가 있어요	have meeting in afternoon
1829	횡단보도	횡단보도를 건너요	cross crosswalk
1830	후	식사 후에 산책해요	walk after meal
1831	후배	대학 후배를 만났어요	met college junior
1832	훌륭하다	훌륭한 선생님이에요	it's excellent teacher
1833	훨씬	이게 훨씬 좋아요	this is much better
1834	휴가	다음 주에 휴가예요	vacation is next week
1835	휴게실	휴게실에서 쉬어요	rest in rest area
1836	휴대폰	휴대폰을 샀어요	bought cellphone
1837	휴일	휴일에 쉬어요	rest on dayoff
